ID,Topic_EN,Topic_ES,Topic_DE,Topic_FR,Topic_ZH,Description_EN,Description_ES,Description_DE,Description_FR,Description_ZH,Level,Estimated_Hours,Resources
890,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,27,"edX, Blogs, Tutorials"
891,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,42,"edX, Blogs, Tutorials"
892,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,21,"Coursera, YouTube, Books"
893,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Intermediate,42,"Coursera, YouTube, Books"
894,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,45,"Coursera, YouTube, Books"
895,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,32,"edX, Blogs, Tutorials"
896,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,9,"Coursera, YouTube, Books"
897,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,17,"Kaggle, GitHub, Research Papers"
898,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Beginner,15,"edX, Blogs, Tutorials"
899,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,20,"Kaggle, GitHub, Research Papers"
900,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,28,"edX, Blogs, Tutorials"
901,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,20,"edX, Blogs, Tutorials"
902,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,47,"edX, Blogs, Tutorials"
903,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,29,"Coursera, YouTube, Books"
904,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Beginner,31,"Coursera, YouTube, Books"
905,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,36,"Kaggle, GitHub, Research Papers"
906,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,11,"Coursera, YouTube, Books"
907,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,50,"edX, Blogs, Tutorials"
908,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,48,"Kaggle, GitHub, Research Papers"
909,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,14,"edX, Blogs, Tutorials"
910,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,47,"edX, Blogs, Tutorials"
911,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,46,"Coursera, YouTube, Books"
912,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,50,"Kaggle, GitHub, Research Papers"
913,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,23,"Kaggle, GitHub, Research Papers"
914,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,49,"Coursera, YouTube, Books"
915,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Intermediate,13,"edX, Blogs, Tutorials"
916,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,39,"Kaggle, GitHub, Research Papers"
917,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,16,"edX, Blogs, Tutorials"
918,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,45,"edX, Blogs, Tutorials"
919,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,16,"Coursera, YouTube, Books"
920,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,39,"edX, Blogs, Tutorials"
921,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,30,"Coursera, YouTube, Books"
922,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,25,"edX, Blogs, Tutorials"
923,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,23,"Coursera, YouTube, Books"
924,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,26,"edX, Blogs, Tutorials"
925,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,35,"Kaggle, GitHub, Research Papers"
926,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,22,"edX, Blogs, Tutorials"
927,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,12,"Coursera, YouTube, Books"
928,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,29,"edX, Blogs, Tutorials"
929,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,38,"edX, Blogs, Tutorials"
930,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,23,"Coursera, YouTube, Books"
931,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,48,"Coursera, YouTube, Books"
932,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,42,"Kaggle, GitHub, Research Papers"
933,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,15,"Kaggle, GitHub, Research Papers"
934,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,30,"Coursera, YouTube, Books"
